id,carat,price,product_url,ring_description,ring_metal,metal_quality,diamond_shape,ring_setting,cut,cut_nom,clarity,clarity_nom,color,color_nom,ring_title,product_type,image_url,image_url2,image_url3,merchant_title,mrch_id,votes,local_merchant_flag,priority_score,merchant_city,prod_name_raw
11,0.7,3685,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",White Gold,White Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
12,0.9,5525,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",White Gold,White Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
13,1,6745,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",White Gold,White Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
14,1.25,8795,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",White Gold,White Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
15,1.4,9955,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",White Gold,White Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
16,1.5,12725,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",White Gold,White Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
17,0.25,1585,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",Gold,Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
18,0.5,2555,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",Gold,Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
19,0.7,3685,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",Gold,Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
20,0.9,5525,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",Gold,Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
21,1,6745,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",Gold,Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
22,1.25,8795,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",Gold,Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
23,1.4,9955,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",Gold,Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
24,1.5,12725,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",Gold,Gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
25,0.25,1890,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",rose gold,rose gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
26,0.5,2860,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",rose gold,rose gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
27,0.7,3990,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",rose gold,rose gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
28,0.9,5830,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",rose gold,rose gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
29,1,7050,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",rose gold,rose gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
30,1.25,9100,http://shop.kenanddanadesign.com//collections/engagement-rings/products/aurora-round,"The Aurora is our sculptural take on a traditional engagement ring. It features a unique wave-like band that elegantly contours the finger in your choice of recycled metal. A brilliant conflict-free diamond sits atop the band in a classic 4-prong setting. Also available in blue sapphire and yellow sapphire. Pairs beautifully with the Sati wedding band, the Bliss wedding band, the Flora wedding band, and the Selene wedding band. Handmade in NYC.
",rose gold,rose gold,Round,Solitaire,Ideal Cut,5,SI1,2,H,3,Aurora - Round,Engagement Ring,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-Aurora-Organic-f.jpeg_copy_copy.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/unique-engagement-rings-AuroraSeleneF_2.jpg?v=1396918389,cdn.shopify.com/s/files/1/0014/2922/products/Aurora_hand_1.jpg?v=1396918389,Ken & Dana,1,1,1,2,3,NA
